UNIT_CODE,UNIT_NAME,STATE,REGION,DEM_Name,LC_Name,UNIT_TYPE,PARKNAME,Lat,Long
CRMP,Craters of the Moon National Preserve,ID,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Preserve,Craters of the Moon,43.151857,-113.482754
CRMO,Craters of the Moon National Monument,ID,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Monument,Craters of the Moon,43.402764,-113.520418
CRLA,Crater Lake National Park,OR,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Park,Crater Lake,42.941064,-122.132749
ROLA,Ross Lake National Recreation Area,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Recreation Area,Ross Lake,48.781498,-121.10394
LAKE,Lake Mead National Recreation Area,NV,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Recreation Area,Lake Mead,35.954454,-114.220622
HAVO,Hawai'i Volcanoes National Park,HI,PWR,HI_DEM.TIF,HI_LC_2001.TIF,National Park,Hawaii Volcanoes,19.377577,-155.469929
KAHO,Kaloko-Honokohau National Historical Park,HI,PWR,HI_DEM.TIF,HI_LC_2001.TIF,National Historical Park,Kaloko-Honokohau,19.680902,-156.030489
JOTR,Joshua Tree National Park,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Park,Joshua Tree,33.915041,-115.842396
TULE,Tule Lake National Monument,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Monument,Tule Lake,41.887279,-121.374482
PERL,Pearl Harbor National Memorial,HI,PWR,HI_DEM.TIF,HI_LC_2001.TIF,National Memorial,Pearl Harbor,21.366993,-157.94141
MUWO,Muir Woods National Monument,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Monument,Muir Woods,37.896575,-122.580795
JOMU,John Muir National Historic Site,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Historic Site,John Muir,37.982837,-122.13261
OLYM,Olympic National Park,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Park,Olympic,47.803284,-123.666456
SAJH,San Juan Island National Historical Park,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Historical Park,San Juan Island,48.462157,-123.06159
REDW,Redwood National Park,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Park,Redwood,41.433108,-124.033731
LEWI,Lewis and Clark National Historical Park,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Historical Park,Lewis and Clark,46.286183,-123.963247
NEPE,Nez Perce National Historical Park,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Historical Park,Nez Perce,45.794459,-114.43815
LARO,Lake Roosevelt National Recreation Area,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Recreation Area,Lake Roosevelt,47.94264,-118.315648
EBLA,Ebey's Landing National Historical Reserve,WA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Historical Reserve,Ebey's Landing,48.214155,-122.687719
DEVA,Death Valley National Park,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Park,Death Valley,36.478224,-117.12976
SAMO,Santa Monica Mountains National Recreation Area,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Recreation Area,Santa Monica Mountains,34.097744,-118.77087
TUSK,Tule Springs Fossil Beds National Monument,NV,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Monument,Tule Springs Fossil Beds,36.388662,-115.31991
MOJA,Mojave National Preserve,CA,PWR,PWR_DEM.TIF,PWR_LC_2016.TIF,National Preserve,Mojave,35.124208,-115.516811
CASA,Castillo de San Marcos National Monument,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Castillo de San Marcos,29.897857,-81.312172
TUPE,Tupelo National Battlefield,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Tupelo,34.255577,-88.737086
BRCR,Brices Cross Roads National Battlefield Site,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield Site,Brices Cross Roads,34.50612,-88.728893
FOSU,Fort Sumter National Monument,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Fort Sumter,32.753594,-79.870687
NISI,Ninety Six National Historic Site,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Ninety Six,34.142735,-82.016361
BUIS,Buck Island Reef National Monument,VI,SER,PR_VI_DEM.TIF,,National Monument,Buck Island Reef,17.810265,-64.622218
ANJO,Andrew Johnson National Historic Site,TN,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Andrew Johnson,36.156245,-82.83709
ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park,Abraham Lincoln Birthplace,37.611976,-85.673326
DRTO,Dry Tortugas National Park,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Dry Tortugas,24.648829,-82.87177
FOFR,Fort Frederica National Monument,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Fort Frederica,31.223555,-81.39452
CANA,Canaveral National Seashore,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Seashore,Canaveral,28.786275,-80.754151
TUAI,Tuskegee Airmen National Historic Site,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Tuskegee Airmen,32.455387,-85.679833
SARI,Salt River Bay National Historical Park and Ecological Preserve,VI,SER,PR_VI_DEM.TIF,,National Historical Park,Salt River Bay,17.779085,-64.755194
MACA,Mammoth Cave National Park,KY,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Mammoth Cave,37.19758,-86.130895
CARI,Cane River Creole National Historical Park,LA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park,Cane River Creole,31.664442,-93.001313
MOCR,Moores Creek National Battlefield,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Moores Creek,34.458208,-78.110311
HOBE,Horseshoe Bend National Military Park,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Military Park,Horseshoe Bend,32.976688,-85.734136
FOMA,Fort Matanzas National Monument,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Fort Matanzas,29.712149,-81.235675
JELA,Jean Lafitte National Historical Park and Preserve,LA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park and Preserve,Jean Lafitte,29.817378,-90.140216
GUIS,Gulf Islands National Seashore,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Seashore,Gulf Islands,30.373063,-87.751225
BISC,Biscayne National Park,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Biscayne,25.490495,-80.210247
FOPU,Fort Pulaski National Monument,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Fort Pulaski,32.03082,-80.933611
WRBR,Wright Brothers National Memorial,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Memorial,Wright Brothers,36.016377,-75.669972
SEMO,Selma to Montgomery National Historic Trail,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Trail,Selma to Montgomery,32.270821,-86.728237
KIMO,Kings Mountain National Military Park,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Military Park,Kings Mountain,35.139006,-81.389788
RUCA,Russell Cave National Monument,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Russell Cave,34.97402,-85.815603
VICR,Virgin Islands Coral Reef National Monument,VI,SER,PR_VI_DEM.TIF,,National Monument,Virgin Islands Coral Reef,18.28996,-64.706834
LIRI,Little River Canyon National Preserve,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Preserve,Little River Canyon,34.414566,-85.617361
CHRI,Christiansted National Historic Site,VI,SER,PR_VI_DEM.TIF,,National Historic Site,Christiansted,17.734056,-64.729063
DESO,De Soto National Memorial,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Memorial,De Soto,27.522726,-82.643354
ANDE,Andersonville National Historic Site,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Andersonville,32.198317,-84.129889
COWP,Cowpens National Battlefield,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Cowpens,35.131606,-81.809354
MALU,"Martin Luther King, Jr., National Historic Site",GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Martin Luther King Jr.,33.75492,-84.372568
FODO,Fort Donelson National Battlefield,TN,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Fort Donelson,36.487282,-87.924443
JICA,Jimmy Carter National Historic Site,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Jimmy Carter,32.026318,-84.416067
TUIN,Tuskegee Institute National Historic Site,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Tuskegee Institute,32.429621,-85.704885
FOCA,Fort Caroline National Memorial,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Memorial,Fort Caroline,30.384683,-81.498021
NATR,Natchez Trace Parkway,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,Parkway,Natchez Trace,34.186413,-89.050593
CONG,Congaree National Park,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Congaree,33.791868,-80.748665
JAZZ,New Orleans Jazz National Historical Park,LA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park,New Orleans Jazz,29.963031,-90.067497
BICR,Birmingham Civil Rights National Monument,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Birmingham Civil Rights,33.515428,-86.814667
