UNIT_CODE,UNIT_NAME,STATE,REGION,DEM_Name,LC_Name,UNIT_TYPE,PARKNAME,Lat,Long
GOSP,Golden Spike National Historic Site,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Golden Spike,41.630996,-112.524289
MOCA,Montezuma Castle National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Montezuma Castle,34.611021,-111.814793
BICA,Bighorn Canyon National Recreation Area,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Bighorn Canyon,45.289074,-108.144616
SAND,Sand Creek Massacre National Historic Site,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Sand Creek Massacre,38.564134,-102.516951
CARE,Capitol Reef National Park,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Capitol Reef,38.17732,-111.176404
SAPU,Salinas Pueblo Missions National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Salinas Pueblo Missions,34.259424,-106.204868
CAGR,Casa Grande Ruins National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Casa Grande Ruins,32.997026,-111.532538
CHIR,Chiricahua National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Chiricahua,32.012141,-109.341606
DETO,Devils Tower National Monument,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Devils Tower,44.590646,-104.715634
CACH,Canyon de Chelly National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Canyon de Chelly,36.094048,-109.338824
MAPR,Manhattan Project National Historical Park,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Manhattan Project,35.935395,-99.821133
WACO,Waco Mammoth National Monument,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Waco Mammoth,31.604659,-97.176061
GLCA,Glen Canyon National Recreation Area,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Glen Canyon,37.515554,-110.773602
BAND,Bandelier National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Bandelier,35.778949,-106.3317
COLM,Colorado National Monument,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Colorado,39.050425,-108.692061
LYJO,Lyndon B. Johnson National Historical Park,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Lyndon B Johnson,30.250359,-98.606862
CAVE,Carlsbad Caverns National Park,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Carlsbad Caverns,32.140874,-104.552993
AZRU,Aztec Ruins National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Aztec Ruins,36.836822,-107.999924
ZION,Zion National Park,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Zion,37.298237,-113.026442
PECO,Pecos National Historical Park,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Pecos,35.541918,-105.681466
ORPI,Organ Pipe Cactus National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Organ Pipe Cactus,32.035706,-112.857283
CURE,Curecanti National Recreation Area,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Curecanti,38.467792,-107.323999
DINO,Dinosaur National Monument,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Dinosaur,40.507281,-108.933365
GLAC,Glacier National Park,MT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Glacier,48.683296,-113.80032
SAGU,Saguaro National Park,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Saguaro,32.178707,-110.757359
CHCU,Chaco Culture National Historical Park,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Chaco Culture,36.039672,-107.955936
GRKO,Grant-Kohrs Ranch National Historic Site,MT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Grant-Kohrs Ranch,46.413752,-112.746693
GRTE,Grand Teton National Park,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Grand Teton,43.81816,-110.705488
CHIC,Chickasaw National Recreation Area,OK,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Chickasaw,34.460511,-97.007019
GRSA,Great Sand Dunes National Preserve,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Preserve,Great Sand Dunes,37.83361,-105.496716
GRSA,Great Sand Dunes National Park,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Great Sand Dunes,37.776553,-105.628888
BITH,Big Thicket National Preserve,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Preserve,Big Thicket,30.340875,-94.337233
RIGR,Rio Grande Wild and Scenic River,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,Wild and Scenic River,Rio Grande,29.757749,-102.730435
BLCA,Black Canyon of the Gunnison National Park,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Black Canyon of the Gunnison,38.578011,-107.72442
WACA,Walnut Canyon National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Walnut Canyon,35.165849,-111.501993
WUPA,Wupatki National Monument,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Wupatki,35.55739,-111.395727
WABA,Washita Battlefield National Historic Site,OK,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Washita Battlefield,35.620848,-99.704462
BIBE,Big Bend National Park,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Big Bend,29.29738,-103.229435
CEBR,Cedar Breaks National Monument,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Cedar Breaks,37.635405,-112.845158
FODA,Fort Davis National Historic Site,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Fort Davis,30.599304,-103.896191
ARCH,Arches National Park,UT,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Arches,38.722539,-109.58635
FOLA,Fort Laramie National Historic Site,WY,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Fort Laramie,42.203017,-104.545911
TUMA,Tumacacori National Historical Park,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Tumacácori,31.572832,-111.038496
GRCA,Grand Canyon National Park,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Grand Canyon,36.186545,-112.684253
PAIS,Padre Island National Seashore,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Seashore,Padre Island,26.705775,-97.359225
MEVE,Mesa Verde National Park,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Mesa Verde,37.23905,-108.462404
VALL,Valles Caldera National Preserve,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Preserve,Valles Caldera,35.916783,-106.519572
ROMO,Rocky Mountain National Park,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Rocky Mountain,40.355466,-105.697308
FLFO,Florissant Fossil Beds National Monument,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Florissant Fossil Beds,38.91292,-105.281825
AMIS,Amistad National Recreation Area,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Amistad,29.477491,-101.09758
PEFO,Petrified Forest National Park,AZ,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,Petrified Forest,34.983703,-109.787773
ALFL,Alibates Flint Quarries National Monument,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Alibates Flint Quarries,35.581959,-101.671709
LAMR,Lake Meredith National Recreation Area,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Recreation Area,Lake Meredith,35.619437,-101.681384
WHSA,White Sands National Park,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Park,White Sands,32.778336,-106.32535
PETR,Petroglyph National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,Petroglyph,35.139148,-106.749153
SAAN,San Antonio Missions National Historical Park,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,San Antonio Missions,29.332731,-98.428893
PAAL,Palo Alto Battlefield National Historical Park,TX,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historical Park,Palo Alto Battlefield,26.023916,-97.46289
BEOL,Bent's Old Fort National Historic Site,CO,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Historic Site,Bent's Old Fort,38.039775,-103.42665
ELMA,El Malpais National Monument,NM,IMR,IMR_DEM.TIF,IMR_LC_2016.TIF,National Monument,El Malpais,34.883545,-107.996828
BRVB,Brown v. Board of Education National Historic Site,KS,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Brown V Board Of Education,39.037933,-95.676144
ULSG,Ulysses S. Grant National Historic Site,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Ulysses S Grant,38.551824,-90.351693
GRPO,Grand Portage National Monument,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Grand Portage,47.999682,-89.75572
JECA,Jewel Cave National Monument,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Jewel Cave,43.731029,-103.829994
FOLS,Fort Larned National Historic Site,KS,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Fort Larned,38.18047,-99.218368
PEVI,Perry's Victory and International Peace Memorial,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Memorial,Perry's Victory & International Peace,41.654498,-82.811579
JAGA,James A. Garfield National Historic Site,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,James A Garfield,41.664865,-81.350866
PIPE,Pipestone National Monument,MN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Pipestone,44.013519,-96.324755
ARPO,Arkansas Post National Memorial,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Memorial,Arkansas Post,34.020725,-91.308363
MORU,Mount Rushmore National Memorial,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Memorial,Mount Rushmore,43.880369,-103.452519
JEFF,Gateway Arch National Park,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Gateway Arch,38.622116,-90.180396
GERO,George Rogers Clark National Historical Park,IN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historical Park,George Rogers Clark,38.679127,-87.535452
KNRI,Knife River Indian Villages National Historic Site,ND,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Knife River Indian Villages,47.353898,-101.385719
SCBL,Scotts Bluff National Monument,NE,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Scotts Bluff,41.834761,-103.707243
AGFO,Agate Fossil Beds National Monument,NE,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Agate Fossil Beds,42.421703,-103.753885
RRBH,Ronald Reagan Boyhood Home National Historic Site,IL,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Ronald Reagan Boyhood Home,41.836232,-89.480292
CHYO,Charles Young Buffalo Soldiers National Monument,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Charles Young Buffalo Soldiers,39.708178,-83.893286
DAAV,Dayton Aviation Heritage National Historical Park,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historical Park,Dayton Aviation Heritage,39.803968,-84.101606
LIBO,Lincoln Boyhood National Memorial,IN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Memorial,Lincoln Boyhood,38.11817,-86.996569
TAPR,Tallgrass Prairie National Preserve,KS,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Preserve,Tallgrass Prairie,38.440222,-96.567078
LOSA,Lower Saint Croix National Scenic Riverway,WI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Scenic Riverway,Lower Saint Croix,45.344898,-92.741493
WICA,Wind Cave National Park,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Wind Cave,43.580095,-103.439479
PULL,Pullman National Monument,IL,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Pullman,41.694291,-87.608926
VOYA,Voyageurs National Park,MN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Voyageurs,48.483547,-92.838101
FOSM,Fort Smith National Historic Site,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Fort Smith,35.388324,-94.43494
LECL,Lewis and Clark National Historic Trail,NE,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Trail,Lewis and Clark,40.664145,-95.832534
LIHO,Lincoln Home National Historic Site,IL,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Lincoln Home,39.797156,-89.645134
THRO,Theodore Roosevelt National Park,ND,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Theodore Roosevelt,46.953592,-103.42997
APIS,Apostle Islands National Lakeshore,WI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Lakeshore,Apostle Islands,46.963491,-90.660423
KEWE,Keweenaw National Historical Park,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historical Park,Keweenaw,47.138156,-88.522807
HOME,Homestead National Monument,NE,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Homestead,40.287964,-96.834025
RIRA,River Raisin National Battlefield Park,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Battlefield Park,River Raisin,41.912964,-83.376179
MISS,Mississippi National River and Recreation Area,MN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National River and Recreation Area,Mississippi,44.772235,-93.046475
HSTR,Harry S Truman National Historic Site,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Harry S Truman,38.901192,-94.518572
CHSC,Little Rock Central High School National Historic Site,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Little Rock Central High School,34.736943,-92.299733
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,President William Jefferson Clinton Birthplace Home,33.66758,-93.596374
FOUS,Fort Union Trading Post National Historic Site,ND,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Fort Union Trading Post,48.000814,-104.037584
OZAR,Ozark National Scenic Riverway,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Scenic Riverway,Ozark,37.147162,-91.256838
FILA,First Ladies National Historic Site,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,First Ladies,40.796622,-81.375799
WICR,Wilson's Creek National Battlefield,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Battlefield,Wilson's Creek,37.099819,-93.409675
GWCA,George Washington Carver National Monument,MO,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,George Washington Carver,36.986642,-94.355524
SACN,Saint Croix National Scenic Riverway,WI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Scenic Riverway,Saint Croix,45.980215,-92.213982
CUVA,Cuyahoga Valley National Park,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Cuyahoga Valley,41.259102,-81.570988
IATR,Ice Age National Scenic Trail,WI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Scenic Trail,Ice Age,43.07858,-89.616784
HEHO,Herbert Hoover National Historic Site,IA,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Herbert Hoover,41.667924,-91.352419
FOSC,Fort Scott National Historic Site,KS,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Fort Scott,37.843617,-94.70445
HOCU,Hopewell Culture National Historical Park,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historical Park,Hopewell Culture,39.279394,-83.080393
BADL,Badlands National Park,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Badlands,43.834002,-102.483262
EFMO,Effigy Mounds National Monument,IA,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Monument,Effigy Mounds,43.081647,-91.197597
NIOB,Niobrara National Scenic River,NE,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Scenic River,Niobrara,42.725866,-99.918279
PERI,Pea Ridge National Military Park,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Military Park,Pea Ridge,36.454379,-94.034684
WIHO,William Howard Taft National Historic Site,OH,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,William Howard Taft,39.119704,-84.50759
ISRO,Isle Royale National Park,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Isle Royale,48.01098,-88.828494
MNRR,Missouri National Recreation River,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Recreation River,Missouri,42.766758,-97.595662
MIMI,Minuteman Missile National Historic Site,SD,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Minuteman Missile,43.844577,-101.948572
INDU,Indiana Dunes National Park,IN,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Indiana Dunes,41.637206,-87.097116
SLBE,Sleeping Bear Dunes National Lakeshore,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Lakeshore,Sleeping Bear Dunes,45.111506,-86.026967
NICO,Nicodemus National Historic Site,KS,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Historic Site,Nicodemus,39.39036,-99.616772
HOSP,Hot Springs National Park,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Park,Hot Springs,34.511121,-93.063341
BUFF,Buffalo National River,AR,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National River,Buffalo,35.968644,-92.907731
PIRO,Pictured Rocks National Lakeshore,MI,MWR,MWR_DEM.TIF,MWR_LC_2016.TIF,National Lakeshore,Pictured Rocks,46.563731,-86.316074
WOTR,Wolf Trap National Park for the Performing Arts,VA,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Wolf Trap NP for the Performing Arts,38.938491,-77.264764
THIS,Theodore Roosevelt Island National Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Theodore Roosevelt Island,38.895841,-77.062419
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Lyndon Baines Johnson Memorial Grove,38.87858,-77.051458
GREE,Greenbelt Park,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Greenbelt,38.983416,-76.897703
CAWO,Carter G. Woodson National Historic Site,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Carter G. Woodson Home,38.910885,-77.024309
MABE,Mary McLeod Bethune Council House National Historic Site,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Mary McLeod Bethune Council House,38.908183,-77.030965
FOTH,Ford's Theatre National Historic Site,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Ford's Theatre,38.89668,-77.025777
CLBA,Clara Barton National Historic Site,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Clara Barton,38.967629,-77.140097
FOWA,Fort Washington Park,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Fort Washington,38.712177,-77.028751
WAMO,Washington Monument,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Washington Monument,38.888652,-77.035466
JEFM,Thomas Jefferson Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Thomas Jefferson Memorial,38.881014,-77.036326
WHHO,White House,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,President's Park (White House),38.89704,-77.036554
CATO,Catoctin Mountain Park,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Catoctin Mountain,39.650763,-77.4643
FRDE,Franklin Delano Roosevelt Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Franklin Delano Roosevelt,38.883413,-77.043115
WWII,World War II Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,World War II Memorial,38.889239,-77.040376
VIVE,Vietnam Veterans Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Vietnam Veterans,38.890963,-77.047657
KOWA,Korean War Veterans Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Korean War Veterans,38.887842,-77.047739
COGA,Constitution Gardens,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Constitution Gardens,38.890935,-77.044093
MLKM,"Martin Luther King, Jr., Memorial",DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Martin Luther King Jr,38.88628,-77.044255
LINC,Lincoln Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Lincoln,38.889272,-77.050178
MALL,National Mall,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,National Mall,38.889866,-77.022784
PAAV,Pennsylvania Avenue National Historic Site,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Pennsylvania Avenue,38.893973,-77.023596
WWIM,World War I Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,World War I,38.895933,-77.03286
BEPA,Belmont-Paul Women's Equality National Monument,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Monument,Belmont-Paul Women's Equality,38.892323,-77.003861
FRDO,Frederick Douglass National Historic Site,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Frederick Douglass,38.862982,-76.985074
NACA,National Capital Parks,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Park,National Capital Parks,39.063193,-76.965159
ROCR,Rock Creek Park,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Rock Creek Park,38.962892,-77.046027
MANA,Manassas National Battlefield Park,VA,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Battlefield Park,Manassas,38.818951,-77.533331
ANTI,Antietam National Battlefield,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Battlefield,Antietam,39.470151,-77.738073
PRWI,Prince William Forest Park,VA,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Prince William Forest,38.585832,-77.387417
MONO,Monocacy National Battlefield,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Battlefield,Monocacy,39.362065,-77.395617
PISC,Piscataway Park,MD,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Other Designation,Piscataway,38.684757,-77.053072
ARHO,"Arlington House, The Robert E. Lee Memorial",VA,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,"Arlington House, The Robert E. Lee Memorial",38.882153,-77.073524
CHOH,Chesapeake and Ohio Canal National Historical Park,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Chesapeake and Ohio Canal,39.117881,-77.960859
DDEM,Dwight D. Eisenhower Memorial,DC,NCR,NER_DEM.TIF,NER_LC_2016.TIF,Memorial,Dwight D. Eisenhower,38.887136,-77.018793
HAFE,Harpers Ferry National Historical Park,WV,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Harpers Ferry,39.318688,-77.74201
GWMP,George Washington Memorial Parkway,VA,NCR,NER_DEM.TIF,NER_LC_2016.TIF,National Parkway,George Washington,38.714986,-77.128842
CEBE,Cedar Creek and Belle Grove National Historical Park,VA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Cedar Creek & Belle Grove,39.00935,-78.306193
HOFR,Home of Franklin D. Roosevelt National Historic Site,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Home of Franklin D Roosevelt,41.765988,-73.925763
BOHA,Boston Harbor Islands National Recreation Area,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Recreation Area,Boston Harbor Islands,42.262199,-70.939401
SAPA,Saint Paul's Church National Historic Site,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Saint Paul's Church,40.892835,-73.825773
CACL,Castle Clinton National Monument,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Monument,Castle Clinton,40.703478,-74.016806
EDIS,Thomas Edison National Historical Park,NJ,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Thomas Edison,40.785971,-74.238211
AFBG,African Burial Ground National Monument,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Monument,African Burial Ground,40.714549,-74.004329
EDAL,Edgar Allan Poe National Historic Site,PA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Edgar Allan Poe,39.961955,-75.150006
BOAF,Boston African American National Historic Site,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Boston African American,42.357896,-71.067642
ADAM,Adams National Historical Park,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Adams,42.256594,-71.011603
THST,Thomas Stone National Historic Site,MD,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Thomas Stone,38.529344,-77.037813
SAMA,Salem Maritime National Historic Site,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Salem Maritime,42.520245,-70.886409
BOWA,Booker T. Washington National Monument,VA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Monument,Booker T Washington,37.115205,-79.731858
FOST,Fort Stanwix National Monument,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Monument,Fort Stanwix,43.210534,-75.455576
THKO,Thaddeus Kosciuszko National Memorial,PA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Memorial,Thaddeus Kosciuszko,39.943453,-75.14732
APCO,Appomattox Court House National Historical Park,VA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Appomattox Court House,37.380221,-78.79857
PETE,Petersburg National Battlefield,VA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Battlefield,Petersburg,37.227995,-77.476022
SAGA,Saint-Gaudens National National Historical Park,NH,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,Saint-Gaudens,43.499173,-72.374537
JOFI,John Fitzgerald Kennedy National Historic Site,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,John F Kennedy,42.346937,-71.123238
ELRO,Eleanor Roosevelt National Historic Site,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Eleanor Roosevelt,41.761967,-73.898932
FRHI,Friendship Hill National Historic Site,PA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Friendship Hill,39.775455,-79.92528
THRB,Theodore Roosevelt Birthplace National Historic Site,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Theodore Roosevelt Birthplace,40.738593,-73.989013
NEBE,New Bedford Whaling National Historical Park,MA,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historical Park,New Bedford Whaling,41.635648,-70.923196
SAHI,Sagamore Hill National Historic Site,NY,NER,NER_DEM.TIF,NER_LC_2016.TIF,National Historic Site,Sagamore Hill,40.885752,-73.497355
